ItemID	Name	Description	UnlockLev	MaxHP	MaxHPMul	MaxMP	MaxMPMul	MaxAtk	MaxAtkMul	MaxDef	MaxDefMul	Status
int	string	string	int	int	float	int	float	int	float	int	float	int
10000	단검	짧은 단검	1	0	0	0	0	16	1.1	0	0	0
10001	막대	나무로 만든 막대	1	0	0	0	0	27	1.1	0	0	0
10002	방패	낡은 나무로 만든 방패	1	0	0	0	0	0	0	5	1.2	0
10003	노란머리띠	노란색 머리띠	2	0	0	0	0	0	0	5	1.2	0
20000	빨강포션	HP를 50 회복시킨다.	1	50	1	0	0	0	0	0	0	0
20001	파랑포션	MP를 50 회복시킨다.	1	0	0	50	1	0	0	0	0	0
20002	분홍포션	HP/MP를 각각 50 회복시킨다.	2	50	1	50	1	0	0	0	0	0
20003	해독제	중독상태를 치료한다	2	0	0	0	0	0	0	0	0	1
30000	생쥐의 치즈	생쥐가 물고 다니던 치즈다	0	0	0	0	0	0	0	0	0	0
30001	참새깃털	참새에게 뽑은 깃털	0	0	0	0	0	0	0	0	0	0
30002	달걀	닭에게 훔친 달걀	0	0	0	0	0	0	0	0	0	0
30003	동물의 가죽	질긴 가죽	0	0	0	0	0	0	0	0	0	0
30004	토끼의 당근	토끼가 물고 다니던 당근	0	0	0	0	0	0	0	0	0	0
30005	양털	양에게 뽑은 털	0	0	0	0	0	0	0	0	0	0
